구 분,기관명,주소,위도,경도
동탄구,동탄2지구대,경기도 화성시 동탄영천로 70,37.2089865016809,127.103885226658
동탄구,동탄3지구대,경기도 화성시 왕배산길 6,37.1812147977833,127.122567107185
동탄구,동탄지구대,경기도 화성시 노작로 226-1,37.2074937141668,127.077415117861
동탄구,반월파출소,경기도 화성시 영통로 27번길 25-19 ,37.2308281834924,127.062445373153
동탄구,안용파출소,경기도 화성시 용주로 32번길 4,37.2059151113455,127.013322246136
동탄구,정남파출소,경기도 화성시 정남면 만년로 582,37.1729746923038,126.983975499768
동탄구,태안지구대,경기도 화성시 떡전골로 112-2,37.2083534033531,127.033245910203
분당구,구미파출소,경기도 성남시 분당구 구미로 107,37.3394641927513,127.120737797193
분당구,금곡지구대,경기도 성남시 분당구 성남대로 171번길 12,37.3516172664871,127.107283581372
분당구,동판교파출소,경기도 성남시 분당구 동판교로 266번길 24,37.4066041108857,127.115741851192
분당구,분당경찰서,경기도 성남시 분당구 정자일로 165,37.365305160336,127.105449798689
분당구,서판교파출소,경기도 성남시 분당구 운중로 146번길 6,37.3908731217833,127.078926213532
분당구,서현지구대,경기도 성남시 분당구 중앙공원로 31번길 30,37.3823563833385,127.126279633298
분당구,수내파출소,경기도 성남시 분당구 불정로 253,37.3667591840073,127.126289952105
분당구,야탑지구대,경기도 성남시 분당구 야탑로 76,37.4096125472309,127.127376289034
수정구,고등파출소,경기도 성남시 수정구 고등공원로 47,37.4297487510622,127.100356767463
수정구,단대파출소,경기도 성남시 수정구 단대로 15,37.452293576808,127.158255323559
수정구,복정파출소,경기도 성남시 수정구 복정로 36,37.4561731141269,127.127510932848
수정구,산성파출소,경기도 성남시 수정구 수정남로 317,37.4450279191546,127.145622366124
수정구,성남수정경찰서,경기도 성남시 성남대로 1259,37.4423765356675,127.12683413551
수정구,성남위례파출소,경기도 성남시 수정구 위례동로 135,37.472278568853,127.150085322633
수정구,수진1파출소,경기도 성남시 수정구 탄리로 21,37.4386678442358,127.138880607806
수정구,수진지구대,경기도 성남시 수정구 모란로 1,37.4338185950284,127.128428895709
수정구,신흥지구대,경기도 성남시 수정구 시민로 150,37.441551984392,127.144154633422
수정구,중앙파출소,경기도 성남시 수정구 수정로 145,37.4424615513166,127.13626109313
수정구,태평4파출소,경기도 성남시 수정구 남문로 128,37.4478625717531,127.140886370948
중원구,공단치안센터,경기도 성남시 중원구 갈마치로 259,37.4373272968575,127.173713401525
중원구,금광지구대,경기도 성남시 중원구 산성대로408번길 26-1,37.4474846363915,127.161360890139
중원구,대원파출소,경기도 성남시 중원구 둔촌대로 439,37.4329605741921,127.165775354716
중원구,도촌파출소,경기도 성남시 중원구 도촌북로 43,37.4176254720129,127.154589139179
중원구,상대원2파출소,경기도 성남시 중원구 희망로 373,37.4313410389678,127.160987498519
중원구,성남중원경찰서,경기도 성남시 중원구 금빛로2번길10,37.4426637336523,127.170370787385
중원구,성호지구대,경기도 성남시 중원구 산성대로 190-6,37.4360737882624,127.139978628738
중원구,은행파출소,경기도 성남시 중원구 은행로 25번길 14,37.4558129695406,127.165399120104
중원구,하대원치안센터,경기도 성남시 중원구 둔촌대로217번길 3,37.4286287185378,127.142148596208
화성서부,남양파출소,화성시 남양시장로 47,37.209082561655,126.814699875199
화성서부,마도파출소,화성시 마도면 석교로 179,37.2061734470598,126.774345346724
화성서부,매송파출소,화성시 매송면 화성로 2249,37.2499604645418,126.911924622596
화성서부,발안지구대,화성시 3.1만세로 1095,37.1319333753836,126.907371964645
화성서부,비봉파출소,화성시 비봉면 양노로 56,37.2362133706169,126.867485861722
화성서부,서신파출소,화성시 서신면 매화1길 31,37.1701880600388,126.705572612578
화성서부,송산파출소,화성시 송산포도로 98,37.2141991148313,126.738148363952
화성서부,양감파출소,화성시 양감면 은행나무로 263,37.0816329633602,126.944752278941
화성서부,우정파출소,화성시 우정읍 조암남로 31,37.0841492845985,126.818405357411
화성서부,팔탄파출소,화성시 팔탄면 서촌길 9,37.1605024112083,126.90313106001
