안전시설명,소재지도로명주소,소재지지번주소,위도,경도
cu편의점 감일포웰시티점,경기도 하남시 감일백제로 70-1,경기도 하남시 감이동 491번지,37.5034661515,127.1636350023
cu편의점 감일라포레점,,경기도 하남시 감이동 500번지 포웰시티푸르지오라포레,37.4980452543,127.165503361
포웰공인중개사,경기도 하남시 감일백제로 20,경기도 하남시 감이동 500번지 포웰시티푸르지오라포레 101호,37.4980452543,127.165503361
하우스홀드,경기도 하남시 감북로 36,경기도 하남시 감일동 14-3번지,37.5156904141,127.1611132984
GS편의점 하남서부점,경기도 하남시 감북로 56,경기도 하남시 감일동 2-5번지,37.5158953758,127.1634434336
CU편의점(하남덕풍본점),경기도 하남시 신장로 201,경기도 하남시 덕풍동 349번지,37.5430043498,127.1987190515
바다약국,경기도 하남시 덕풍공원로 43,경기도 하남시 덕풍동 364-13번지,37.5394328434,127.1978844673
삼성작은슈퍼,경기도 하남시 덕풍공원로47번길 26,경기도 하남시 덕풍동 365-23번지,37.5397516672,127.1991962371
착한문구,경기도 하남시 역말로 68,경기도 하남시 덕풍동 423-3번지,37.5375536727,127.2032799493
기린슈퍼,경기도 하남시 덕풍공원로 85,경기도 하남시 덕풍동 429-9번지,37.5370054611,127.2003504912
풍산온누리약국,경기도 하남시 덕풍동로 111,경기도 하남시 덕풍동 744-2번지 풍산캐슬 108호,37.5511950252,127.2084336222
행복한약국,경기도 하남시 덕풍북로 259,경기도 하남시 덕풍동 811-3번지 102호,37.5480172272,127.2100535402
아이파크부동산,경기도 하남시 덕풍남로 11-1,경기도 하남시 덕풍동 823번지,37.5471415286,127.2094909036
GS편의점 미사18단지점,경기도 하남시 미사강변서로 127-1,경기도 하남시 망월동 1050번지,37.5623082326,127.1837291262
삼성스토어 하남미사점,경기도 하남시 미사대로 442,경기도 하남시 망월동 1149-1번지,37.5646733417,127.1988809166
부빵,경기도 하남시 미사강변한강로334번길 10,경기도 하남시 망월동 1184-3번지,37.5609085748,127.2000170113
GS편의점 미사센터점,경기도 하남시 미사강변한강로346번길 16,경기도 하남시 망월동 1196-7번지,37.5598738669,127.2007457994
CU편의점 미사R5점,경기도 하남시 미사강변한강로334번길 65,경기도 하남시 망월동 1198번지,37.5591786823,127.2002956841
CU편의점 미사중앙점,경기도 하남시 아리수로 565-1,경기도 하남시 망월동 949번지,37.5677048191,127.1895719741
명가한약국,경기도 하남시 미사강변대로226번길 9,경기도 하남시 망월동 962-1번지 송하빌딩 105호,37.5699983838,127.1843307566
GS편의점 미사보건센터점,경기도 하남시 미사강변대로226번안길 35,경기도 하남시 망월동 979번지,37.5683161673,127.1855721467
GS편의점 미사해리점,경기도 하남시 미사강변한강로 60-1,경기도 하남시 선동 433번지,37.5766473126,127.1831928377
GS편의점 미사7단지점,경기도 하남시 미사강변대로 270-1,경기도 하남시 선동 436번지,37.5741268932,127.1844492264
이마트편의점24 하남에코점,경기도 하남시 하남대로802번길 56,경기도 하남시 신장동 381-31번지,37.5417741004,127.2113908109
꽃사랑,경기도 하남시 하남대로 791,경기도 하남시 신장동 406-9번지,37.5402367544,127.2093365828
현대그린마트(나들가게),경기도 하남시 대청로 62-1,경기도 하남시 신장동 528번지,37.5401796773,127.2192753421
양파네분식,경기도 하남시 천현로39번길 7,경기도 하남시 신장동 531번지,37.5373231276,127.2158224101
이가 미장원,경기도 하남시 하남대로 747,경기도 하남시 신장동 570번지 1층,37.5380094975,127.2126504319
이집케이크,경기도 하남시 신장동로29번안길 21,경기도 하남시 신장동 581-3번지 스타빌 102호,37.544307139,127.2114829275
참약사든든약국,경기도 하남시 신장동로29번길 40,경기도 하남시 신장동 587번지 102호,37.5440654601,127.2121743853
유덕문구,경기도 하남시 대청로 91,경기도 하남시 신장동 81-13번지,37.5403499442,127.2226705677
바른손 문구,경기도 하남시 대청로 119-1,경기도 하남시 창우동 518번지 부영아파트 종합상가 109호,37.5396820154,127.2261367922
프랑세즈제과점,경기도 하남시 더우개로 6,경기도 하남시 창우동 520번지,37.539092051,127.2205471876
세브란츠약국,경기도 하남시 대청로116번길 59-1,경기도 하남시 창우동 521번지 꿈동산신안아파트 120호,37.5371178078,127.2242672063
세븐일레븐편의점 미사풍경채점,,경기도 하남시 풍산동 471번지 미사강변센트럴풍경채,37.5564371724,127.1825198466
뚜레쥬르 북위례점,경기도 하남시 위례학암로 19,경기도 하남시 학암동 634-2번지,37.4880121814,127.1588855537
CU편의점 북위례포레자이점,,경기도 하남시 학암동 635번지 위례포레자이,37.4865591162,127.1613693591
GS더프레시 북위례하남점,경기도 하남시 위례학암로 18,경기도 하남시 학암동 647번지,37.4879565968,127.158365472
메가커피 학암힐스테이트점,경기도 하남시 위례대로6길 15,경기도 하남시 학암동 651번지 힐스테이트센트럴위례 116호,37.4870658846,127.1558244444
파리바게트 위례해링턴점,경기도 하남시 위례대로 190,경기도 하남시 학암동 661번지 위례효성해링턴타워 115동 116호,37.4785892163,127.1483985904
