시설물명,위도,경도,저장이미지수,파일경로,상태
중원초등학교,37.437855,127.167857,1,./roadview_images/2-3/중원초등학교_북.png,성공
하원초등학교,37.446255,127.170236,1,./roadview_images/2-3/하원초등학교_북.png,성공
중부초등학교,37.451546,127.164951,1,./roadview_images/2-3/중부초등학교_북.png,성공
상대원초등학교,37.442382,127.181591,1,./roadview_images/2-3/상대원초등학교_북.png,성공
도촌초등학교,37.41473,127.158024,1,./roadview_images/2-3/도촌초등학교_북.png,성공
구미초등학교,37.337756,127.118398,1,./roadview_images/2-3/구미초등학교_북.png,성공
내정초등학교,37.372402,127.122264,1,./roadview_images/2-3/내정초등학교_북.png,성공
돌마초등학교,37.409099,127.130378,1,./roadview_images/2-3/돌마초등학교_북.png,성공
미금초등학교,37.347422,127.115303,1,./roadview_images/2-3/미금초등학교_북.png,성공
백현초등학교,37.372193,127.111168,1,./roadview_images/2-3/백현초등학교_북.png,성공
